21,Sunkara 65 ML,5,Rp4.400,Rp5.000,Rp22.000,Rp25.000,,Rp3.000,19-Agu-2026,04-Nov-2027
22,Indofood Racik S.Asem 33 Gram,10,Rp1.650,Rp2.000,Rp16.500,Rp20.000,,Rp3.500,19-Agu-2026,22-Jul-2027
23,Indofood Sambal Botol 135 ML EXT,1,Rp6.300,Rp7.000,Rp6.300,Rp7.000,,Rp700,19-Agu-2026,02-Jan-2028
24,Indofood Racik Tempe G. 20 Gram,10,Rp1.650,Rp2.000,Rp16.500,Rp20.000,,Rp3.500,19-Agu-2026,16-Apr-2027
25,Energen Toping 38 Gram,10,Rp2.400,Rp3.000,Rp24.000,Rp30.000,,Rp6.000,19-Agu-2026,16-Jun-2027
26,Indocafe Coffemix 20 Gram,10,Rp1.620,Rp2.000,Rp16.200,Rp20.000,,Rp3.800,19-Agu-2026,01-Jan-2028
27,Max Tea Tarik 25 Gram,10,Rp2.300,Rp3.000,Rp23.000,Rp30.000,,Rp7.000,19-Agu-2026,01-Jan-2028
28,Tanam Jagung 320 Gram,2,Rp7.400,Rp8.000,Rp14.800,Rp16.000,,Rp1.200,19-Agu-2026,21-Mei-2028
29,Kapal Api Mini 6 Gram,20,Rp950,Rp1.500,Rp19.000,Rp30.000,,Rp11.000,19-Agu-2026,20-Jul-2027
30,Kapal Api Mix ,10,Rp1.650,Rp2.000,Rp16.500,Rp20.000,,Rp3.500,19-Agu-2026,09-Jul-2027
31,Resto Pouch 450 ML,2,Rp9.500,Rp10.500,Rp19.000,Rp21.000,,Rp2.000,19-Agu-2026,01-Jul-2028
32,Susu Bendera Putih,6,Rp1.317,Rp2.000,Rp7.900,Rp12.000,,Rp4.100,19-Agu-2026,01-Apr-2027
33,Susu Bendera Coklat,6,Rp1.317,Rp2.000,Rp7.900,Rp12.000,,Rp4.100,19-Agu-2026,01-Apr-2027
34,Kecap Bango 265 Gram,1,Rp9.700,Rp10.500,Rp9.700,Rp10.500,,Rp800,19-Agu-2026,01-Agu-2028
35,Kecap Bango 77 Gram ,3,Rp2.500,Rp3.000,Rp7.500,Rp9.000,,Rp1.500,19-Agu-2026,02-Agu-2027
36,Soun Naga 50 Gram,2,Rp1.800,Rp2.500,Rp3.600,Rp5.000,,Rp1.400,19-Agu-2026,12-Jun-2028
37,Sasa 100 Gram,2,Rp5.500,Rp6.000,Rp11.000,Rp12.000,,Rp1.000,19-Agu-2026,
38,Segitiga Biru 1KG Premium,1,Rp12.200,Rp13.000,Rp12.200,Rp13.000,,Rp800,19-Agu-2026,18-Jan-2028
39,Sagu Gunung 500 Gram,1,Rp7.800,Rp8.500,Rp7.800,Rp8.500,,Rp700,19-Agu-2026,31-Des-2028
40,Paseo Travel Pack 108 Ply,4,Rp1.900,Rp3.000,Rp7.600,Rp12.000,,Rp4.400,20-Agu-2026,
41,WPC BTL 360 ML Biru,2,Rp9.500,Rp11.000,Rp19.000,Rp22.000,,Rp3.000,20-Agu-2026,
42,Charm Maxi,2,Rp4.100,Rp5.000,Rp8.200,Rp10.000,,Rp1.800,20-Agu-2026,
43,Pepsodent White 72 Gram,1,Rp4.400,Rp5.000,Rp4.400,Rp5.000,,Rp600,20-Agu-2026,13-Jul-2029
44,Finna Sambal Pedas 18 Gram,10,Rp1.200,Rp1.500,Rp12.000,Rp15.000,,Rp3.000,20-Agu-2026,01-Sep-2027
45,Molto Pink 18 ML,6,Rp750,Rp1.000,Rp4.500,Rp6.000,,Rp1.500,20-Agu-2026,
46,Pantene A. Rontok,12,Rp750,Rp1.000,Rp9.000,Rp12.000,,Rp3.000,20-Agu-2026,01-Agu-2027
47,Tolak Angin Dewasa Cair @12 15ml,12,Rp3.708,Rp5.000,Rp44.500,Rp60.000,,Rp15.500,20-Agu-2026,01-Feb-2028
48,Ekonomi Lavender 380 Gram,2,Rp4.500,Rp5.000,Rp9.000,Rp10.000,,Rp1.000,20-Agu-2026,
49,Head & Shoulders C. Menthol 10 Gram,12,Rp750,Rp1.000,Rp9.000,Rp12.000,,Rp3.000,20-Agu-2026,
50,Mama Lime 430 ML Jeruk Nipis,2,Rp7.000,Rp8.000,Rp14.000,Rp16.000,,Rp2.000,20-Agu-2026,14-Mei-2029
51,Jahe AMH,10,Rp890,Rp2.000,Rp8.900,Rp20.000,,Rp11.100,20-Agu-2026,01-Feb-2028
52,Kispray 280 ML Biru,1,Rp4.700,Rp6.000,Rp4.700,Rp6.000,,Rp1.300,20-Agu-2026,01-Des-2027
53,Kispray 300 ML Merah,1,Rp4.700,Rp6.000,Rp4.700,Rp6.000,,Rp1.300,20-Agu-2026,01-Nov-2027
54,Pop Mie Besar Kari Ayam,1,Rp4.400,Rp6.000,Rp4.400,Rp6.000,,Rp1.600,20-Agu-2026,06-Apr-2027
55,Sedap Cup Baso Spesial,1,Rp4.300,Rp6.000,Rp4.300,Rp6.000,,Rp1.700,20-Agu-2026,20-Jan-2027
56,Pop Mie Besar Soto Ayam,1,Rp4.400,Rp6.000,Rp4.400,Rp6.000,,Rp1.600,20-Agu-2026,01-Apr-2027
57,Ladaku Sachet,12,Rp833,Rp1.000,Rp9.996,Rp12.000,,Rp2.004,20-Agu-2026,11-Jun-2029
58,Sosis Ayam Sonice 24+1 pcs,1,Rp18.500,Rp1.000,Rp18.500,Rp1.000,,-Rp17.500,20-Agu-2026,21-Des-2026
59,Indofood Racik Nasi G. Extra,10,Rp1.650,Rp2.000,Rp16.500,Rp20.000,,Rp3.500,20-Agu-2026,14-Jul-2027
60,Desaku Bawang Putih,12,Rp833,Rp1.000,Rp9.996,Rp12.000,,Rp2.004,20-Agu-2026,17-Mar-2029
61,Desaku Kunyit Sachet,12,Rp833,Rp1.000,Rp9.996,Rp12.000,,Rp2.004,20-Agu-2026,06-Feb-2029
62,Wangs Kaldu Jamur,24,Rp771,Rp1.000,Rp18.500,Rp24.000,,Rp5.500,20-Agu-2026,16-Des-2027
63,Royco Ayam 8 Gram,12,Rp400,Rp500,Rp4.800,Rp6.000,,Rp1.200,20-Agu-2026,28-Jun-2027
64,Desaku Ketumbar Sachet,12,Rp833,Rp1.000,Rp9.996,Rp12.000,,Rp2.004,20-Agu-2026,01-Jun-2029
65,Formula SG. D. Action,2,Rp2.800,Rp3.500,Rp5.600,Rp7.000,,Rp1.400,20-Agu-2026,
66,Fioke Cup 200 ML 48 Cup,48,Rp292,Rp500,Rp14.000,Rp24.000,,Rp10.000,20-Agu-2026,
67,Tepung Beras Putih Rose Brand 500G,1,Rp8.000,Rp10.000,Rp8.000,Rp10.000,,Rp2.000,20-Agu-2026,27-Jul-2028
68,Daia Clean & Fresh Hijab,6,Rp833,Rp1.000,Rp5.000,Rp6.000,,Rp1.000,20-Agu-2026,
69,Saori Saus Tiram,10,Rp2.400,Rp2.500,Rp24.000,Rp25.000,,Rp1.000,20-Agu-2026,21-Jul-2027
70,Saori Saus Teriyaki,10,Rp2.400,Rp2.500,Rp24.000,Rp25.000,,Rp1.000,20-Agu-2026,13-Mei-2027
71,Saus Del Monte Extra Hot Sachet,24,Rp292,Rp500,Rp7.000,Rp12.000,,Rp5.000,20-Agu-2026,22-Jul-2027
72,Margarin Palmia ,2,Rp7.000,Rp8.000,Rp14.000,Rp16.000,,Rp2.000,20-Agu-2026,09-Jul-2027
73,"Desaku Marinasi Ayam, Ikan, dan Tempe",10,Rp800,Rp1.000,Rp8.000,Rp10.000,,Rp2.000,20-Agu-2026,12-Mar-2029
74,Minyak Kita 1 Liter,1,Rp19.000,Rp20.000,Rp19.000,Rp20.000,,Rp1.000,20-Agu-2026,07-Jul-2027
75,Resto Pouch 900 ML,1,Rp9.500,Rp10.000,Rp9.500,Rp10.000,,Rp500,20-Agu-2026,01-Jul-2028
76,Tepung Panir 500 Gram,2,Rp5.000,Rp6.000,Rp10.000,Rp12.000,,Rp2.000,20-Agu-2026,
77,Gula 1 KG,1,Rp20.000,Rp21.000,Rp20.000,Rp21.000,,Rp1.000,20-Agu-2026,
78,Gula 500 Gram,3,Rp10.000,Rp10.500,Rp30.000,Rp31.500,,Rp1.500,20-Agu-2026,
79,Gula 250 Gram,2,Rp5.000,Rp5.500,Rp10.000,Rp11.000,,Rp1.000,20-Agu-2026,
80,Mie Sedap Ayam Bawang,5,Rp2.800,Rp3.500,Rp14.000,Rp17.500,,Rp3.500,20-Agu-2026,28-Mar-2027
81,Mie Sedap Korean Cheese Buldak,5,Rp2.800,Rp3.500,Rp14.000,Rp17.500,,Rp3.500,20-Agu-2026,04-Apr-2027
82,Tepung Segitiga Biru Curah 1 KG,2,Rp10.000,Rp12.000,Rp20.000,Rp24.000,,Rp4.000,20-Agu-2026,
83,Tepung Segitiga Biru Curah 500 Gram,2,Rp5.000,Rp6.000,Rp10.000,Rp12.000,,Rp2.000,20-Agu-2026,
84,Tepung Curah 500 Gram,2,Rp3.000,Rp4.000,Rp6.000,Rp8.000,,Rp2.000,20-Agu-2026,
85,Garam Dapur 1 Pack,40,Rp1.000,Rp2.000,Rp40.000,Rp80.000,,Rp40.000,20-Agu-2026,
86,Kemiri,10,Rp1.300,Rp1.500,Rp13.000,Rp15.000,,Rp2.000,20-Agu-2026,
87,Isi Ulang Gas 3 KG,5,Rp19.000,Rp21.000,Rp95.000,Rp105.000,-,Rp10.000,20-Agu-2026,
88,Isi Ulang Air ,5,Rp4.000,Rp6.000,Rp20.000,Rp30.000,,Rp10.000,20-Agu-2026,
89,Isi Ulang Gas 12 KG,1,Rp200.000,Rp220.000,Rp200.000,Rp220.000,,Rp20.000,20-Agu-2026,
90,Telur Ayam,64,Rp1.438,Rp1.500,Rp92.000,Rp96.000,,Rp4.000,20-Agu-2026,
91,Tisu Nice 320's,3,Rp6.918,Rp8.000,Rp20.754,Rp24.000,,Rp3.246,21-Agu-2026,
92,Tisu Jolly 180's,3,Rp6.521,Rp7.000,Rp19.563,Rp21.000,,Rp1.437,21-Agu-2026,
93,Kerupuk 1Kg,4,Rp4.500,Rp5.000,Rp18.000,Rp20.000,,Rp2.000,21-Agu-2026,
94,Laurier Active Day,2,Rp4.500,Rp5.000,Rp9.000,Rp10.000,,Rp1.000,21-Agu-2026,
95,Mie Cap 3 Ayam,2,Rp4.250,Rp5.000,Rp8.500,Rp10.000,,Rp1.500,21-Agu-2026,09-Feb-2027
96,Sosoft Rose waterlily,10,Rp1.000,Rp2.000,Rp10.000,Rp20.000,,Rp10.000,21-Agu-2026,
97,Sosoft Tea Tree,10,Rp1.000,Rp2.000,Rp10.000,Rp20.000,,Rp10.000,21-Agu-2026,
98,Soklin Liquid Softergen Pink,14,Rp714,Rp1.000,Rp10.000,Rp14.000,,Rp4.000,21-Agu-2026,
99,Tepung Segitiga Biru Curah,2,Rp9.500,Rp12.000,Rp19.000,Rp24.000,,Rp5.000,21-Agu-2026,
100,Minyak Sovia 800 ML,2,Rp17.500,Rp20.000,Rp35.000,Rp40.000,,Rp5.000,21-Agu-2026,08-Agu-2028
101,Tepung Beras Putih Rose Brand 500G,1,Rp8.500,Rp10.000,Rp8.500,Rp10.000,,Rp1.500,21-Agu-2026,08-Mei-2028
102,Gula Merah 1 Kg,4,Rp4.250,Rp5.000,Rp17.000,Rp20.000,,Rp3.000,21-Agu-2026,
103,Kacang Garuda Atom,10,Rp900,Rp1.500,Rp9.000,Rp15.000,,Rp6.000,21-Agu-2026,11-Mar-2027
104,Padimas Cream Cake Vanila,10,Rp450,Rp1.000,Rp4.500,Rp10.000,,Rp5.500,21-Agu-2026,29-Jul-2027
105,Khong Guan Classic 18 Gram,10,Rp900,Rp1.500,Rp9.000,Rp15.000,,Rp6.000,21-Agu-2026,31-Jul-2027
106,Permen Kiss Grape 125 Gram,50,Rp160,Rp333,Rp8.000,Rp16.667,,Rp8.667,21-Agu-2026,01-Agu-2027
107,Permen MintZ Rasa Peppermint 99g,45,Rp178,Rp333,Rp8.000,Rp15.000,,Rp7.000,21-Agu-2026,06-Jun-2028
108,Isi Ulang Gas 3 KG,3,Rp19.000,Rp21.000,Rp57.000,Rp63.000,,Rp6.000,21-Agu-2026,
109,"Isi Ulang Gas 5,5 KG",3,Rp155.000,Rp165.000,Rp465.000,Rp495.000,,Rp30.000,21-Agu-2026,
110,Indomie Goreng,10,Rp3.000,Rp3.500,Rp30.000,Rp35.000,,Rp5.000,22-Agu-2026,05-Feb-2027
111,Indomie Ayam Bawang,10,Rp2.900,Rp3.500,Rp29.000,Rp35.000,,Rp6.000,22-Agu-2026,17-Nov-2026
112,Indomie Soto,10,Rp2.900,Rp3.500,Rp29.000,Rp35.000,,Rp6.000,22-Agu-2026,26-Nov-2026
113,Indomie Kari,10,Rp3.000,Rp3.500,Rp30.000,Rp35.000,,Rp5.000,22-Agu-2026,18-Nov-2026
114,Finna Sambal Terasi 18 Gram,10,Rp1.400,Rp1.500,Rp14.000,Rp15.000,,Rp1.000,22-Agu-2026,01-Nov-2027
115,Beng Beng 374 Gram,17,Rp2.235,Rp2.500,Rp38.000,Rp42.500,,Rp4.500,22-Agu-2026,01-Mei-2027
116,Bon Cabe Level 15,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,22-Agu-2026,01-Jul-2028
117,Pasta Keju,30,Rp433,Rp500,Rp13.000,Rp15.000,,Rp2.000,22-Agu-2026,12-Mei-2027
118,Oishi PopCorn Caramel,10,Rp1.800,Rp2.000,Rp18.000,Rp20.000,,Rp2.000,22-Agu-2026,05-Mei-2027
119,Susu Bendera Cokelat Pouch 240 Gram,1,Rp10.000,Rp12.000,Rp10.000,Rp12.000,,Rp2.000,22-Agu-2026,01-Apr-2027
120,Susu Bendera Putih Pouch 240 Gram,1,Rp10.000,Rp12.000,Rp10.000,Rp12.000,,Rp2.000,22-Agu-2026,01-Apr-2027
121,You-You Stick Sapi Panggang 20 Gram,10,Rp900,Rp1.000,Rp9.000,Rp10.000,,Rp1.000,22-Agu-2026,30-Jul-2027
122,Nutri Sari Jeruk Peras 14 Gram,10,Rp1.400,Rp2.000,Rp14.000,Rp20.000,,Rp6.000,22-Agu-2026,01-Nov-2027
123,Nutri Sari Sweet Mango 11 Gram,10,Rp1.400,Rp2.000,Rp14.000,Rp20.000,,Rp6.000,22-Agu-2026,01-Apr-2028
124,Nutri Sari Jeruk Manis 11 Gram,10,Rp1.400,Rp2.000,Rp14.000,Rp20.000,,Rp6.000,22-Agu-2026,01-Jul-2028
125,Mama Suka Bumbu Kuah Bakso 8 Gram,12,Rp417,Rp500,Rp5.000,Rp30.000,,Rp25.000,22-Agu-2026,20-Jul-2027
126,Baterai ABC AAA ,12,Rp2.083,Rp2.500,Rp25.000,Rp36.000,,Rp11.000,22-Agu-2026,
127,Chocolatos Coklat,10,Rp2.100,Rp3.000,Rp21.000,Rp30.000,,Rp9.000,22-Agu-2026,25-Jun-2027
128,Chocolatos Matcha,10,Rp2.100,Rp3.000,Rp21.000,Rp30.000,,Rp9.000,22-Agu-2026,08-Mei-2027
129,Baterai ABC AA,8,Rp2.250,Rp3.000,Rp18.000,Rp24.000,,Rp6.000,22-Agu-2026,
130,1 Pak Citrun Cap Gajah 50 Gram,15,Rp2.533,Rp3.000,Rp38.000,Rp45.000,,Rp7.000,22-Agu-2026,27-Jun-2029
131,Susu Ultra Milk Rasa Strawberry 125 ML,2,Rp3.500,Rp4.000,Rp7.000,Rp8.000,,Rp1.000,22-Agu-2026,22-Mei-2027
132,Susu Ultra Milk Rasa Cokelat 125 ML,2,Rp3.500,Rp4.000,Rp7.000,Rp8.000,,Rp1.000,22-Agu-2026,20-Mei-2027
133,Cuka Dapur 100 ML,4,Rp2.000,Rp3.000,Rp8.000,Rp12.000,,Rp4.000,22-Agu-2026,31-Des-2029
134,Susu Indomilk Strawberry 190 ML,1,Rp4.000,Rp5.000,Rp4.000,Rp5.000,,Rp1.000,22-Agu-2026,28-Apr-2027
135,Susu Indomilk Cokelat 190 ML,1,Rp4.000,Rp5.000,Rp4.000,Rp5.000,,Rp1.000,22-Agu-2026,28-Mar-2027
136,Ketumbar 100 Gram @10,10,Rp450,Rp1.000,Rp4.500,Rp10.000,,Rp5.500,22-Agu-2026,
137,So Klin Rapika Biang Luxury Pink 7 ML,24,Rp417,Rp500,Rp10.000,Rp12.000,,Rp2.000,23-Agu-2026,
138,Kispray Bluis 6 ML,24,Rp417,Rp500,Rp10.000,Rp12.000,,Rp2.000,23-Agu-2026,
139,Lada Butir 100 Gram,10,Rp1.800,Rp2.000,Rp18.000,Rp20.000,,Rp2.000,23-Agu-2026,
140,Teh Tubruk Cap Botol Slawi 40 Gram,2,Rp3.500,Rp4.000,Rp7.000,Rp8.000,,Rp1.000,23-Agu-2026,12-Nov-2027
141,Tepung Sasa Bakwan,5,Rp2.200,Rp2.500,Rp11.000,Rp12.500,,Rp1.500,23-Agu-2026,15-Sep-2027
142,Tepung Sasa Kentucky,5,Rp2.200,Rp2.500,Rp11.000,Rp12.500,,Rp1.500,23-Agu-2026,24-Okt-2027
143,Le Minerale 600 ML,3,Rp2.500,Rp3.000,Rp7.500,Rp9.000,,Rp1.500,23-Agu-2026,01-Jan-2028
144,Nipis Madu 330 ML,2,Rp4.000,Rp5.000,Rp8.000,Rp10.000,,Rp2.000,23-Agu-2026,28-Mar-2027
145,Teh Pucuk 350 ML,2,Rp3.000,Rp4.000,Rp6.000,Rp8.000,,Rp2.000,23-Agu-2026,01-Agu-2027
146,Pasta Gigi Kodomo + Sikat,2,Rp9.000,Rp10.000,Rp18.000,Rp20.000,,Rp2.000,23-Agu-2026,
147,Sasa Tepung Bumbu Serbaguna Ori,2,Rp6.000,Rp6.500,Rp12.000,Rp13.000,,Rp1.000,23-Agu-2026,07-Nov-2027
148,Rin-bee Keju 10 Gram,10,Rp900,Rp1.000,Rp9.000,Rp10.000,,Rp1.000,23-Agu-2026,03-Apr-2027
149,Pop Ice Taro,10,Rp1.150,Rp2.000,Rp11.500,Rp20.000,,Rp8.500,23-Agu-2026,01-Jun-2028
150,Pop Ice Permen Karet,10,Rp1.150,Rp2.000,Rp11.500,Rp20.000,,Rp8.500,23-Agu-2026,01-Jul-2028
151,Wow Spagheti Carbonara,3,Rp3.000,Rp3.500,Rp6.000,Rp7.000,,Rp1.000,23-Agu-2026,01-Mei-2027
152,Oishi PopCorn Caramel,20,Rp1.750,Rp2.000,Rp35.000,Rp40.000,,Rp5.000,23-Agu-2026,05-Mei-2027
153,Good Day Mocacinno 20 Gram,10,Rp1.500,Rp2.000,Rp15.000,Rp20.000,,Rp5.000,23-Agu-2026,20-Jan-2028
154,Good Day Latte Original 22 Gram,10,Rp1.600,Rp2.000,Rp16.000,Rp20.000,,Rp4.000,23-Agu-2026,02-Jan-2028
155,Ladaku Sachet,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,23-Agu-2026,06-Mar-2029
156,Snack Makaroni GD,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,23-Agu-2026,
157,Salonpas,5,Rp1.800,Rp2.000,Rp9.000,Rp10.000,,Rp1.000,23-Agu-2026,01-Mar-2029
158,Hansaplast,100,Rp300,Rp500,Rp30.000,Rp50.000,,Rp20.000,23-Agu-2026,01-Jun-2029
159,Basreng Mama Delia,25,Rp1.800,Rp2.000,Rp45.000,Rp50.000,,Rp5.000,23-Agu-2026,
160,Bawang Putih 500 Gram,5,Rp4.200,Rp4.500,Rp21.000,Rp22.500,,Rp1.500,24-Agu-2026,-
161,Kacang Kulit Garuda,20,Rp875,Rp2.000,Rp17.500,Rp40.000,,Rp22.500,24-Agu-2026,
162,Roti Sisir Manis Jordan Bakery 50 Gram,5,Rp2.100,Rp3.000,Rp10.500,Rp15.000,,Rp4.500,24-Agu-2026,14-Sep-2026
163,Teh Cap Botol Isi 4 Kantong 8 Gram,10,Rp850,Rp1.000,Rp8.500,Rp10.000,,Rp1.500,24-Agu-2026,15-Jul-2028
164,Teh Cap Sosro Isi 4 Kantong 8 Gram,10,Rp850,Rp1.000,Rp8.500,Rp10.000,,Rp1.500,24-Agu-2026,07-Mei-2028
165,WPC Pembersih Porselen 700 gram,1,Rp15.000,Rp17.000,Rp15.000,Rp17.000,,Rp2.000,24-Agu-2026,-
166,Penghapus Microtop ER-40 TPR,40,Rp344,Rp1.000,Rp13.746,Rp40.000,,Rp26.254,24-Agu-2026,-
167,Penggaris Plastik Yamata 30 Cm,12,Rp1.613,Rp2.000,Rp19.354,Rp24.000,,Rp4.646,24-Agu-2026,-
168,Kating Bubuk 5 Gram,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,25-Agu-2026,01-Agu-2027
169,Madurasa 240 Gram (12 Sachet),12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,25-Agu-2026,01-Jun-2029
170,You-You Stick Sapi Panggang 20 Gram,10,Rp900,Rp1.000,Rp9.000,Rp10.000,,Rp1.000,25-Agu-2026,11-Jun-2027
171,Soffel Wangi Bengkoang 8 Gram,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,25-Agu-2026,01-Mar-2028
172,Mama Lime Lime & Mineral Salt,2,Rp9.000,Rp10.000,Rp18.000,Rp20.000,,Rp2.000,25-Agu-2026,06-Agu-2029
173,Terasi Udang Samhok,1,Rp6.000,,Rp6.000,Rp0,,-Rp6.000,25-Agu-2026,19-Feb-2029
174,Asem Jawa,12,Rp833,Rp1.000,Rp10.000,Rp12.000,,Rp2.000,25-Agu-2026,-
175,Sasa 1 Pack,20,Rp950,Rp1.000,Rp19.000,Rp20.000,,Rp1.000,25-Agu-2026,-
176,Pensil Joyko 2B (P-8126),12,Rp984,Rp1.500,Rp11.806,Rp18.000,,Rp6.194,25-Agu-2026,-
177,Kertas Folio Bergaris ( Sidu ) ,50,Rp303,Rp500,Rp15.169,Rp25.000,,Rp9.831,25-Agu-2026,-
178,Buku Tulis Bantex Campus Legacy A5/B5,10,Rp1.950,Rp2.500,Rp19.504,Rp25.000,,Rp5.496,25-Agu-2026,-
179,Pulpen Standard AE7 ,12,Rp1.860,Rp2.500,Rp22.325,Rp30.000,,Rp7.675,25-Agu-2026,-
180,Korek Api RODA,10,Rp1.522,Rp2.000,Rp15.219,Rp20.000,,Rp4.781,25-Agu-2026,-
181,Penggaris BESI POLOS 30 cm,6,Rp2.300,Rp3.000,Rp13.802,Rp18.000,,Rp4.198,26-Agu-2026,-
182,Gunting Kecil Stainless,12,Rp1.837,Rp3.000,Rp22.045,Rp36.000,,Rp13.955,26-Agu-2026,-
